cve_programa,E003,E016,E064,E066,S016,S017,S020,S021,S038,S043,S048,S052,S054,S057,S058,S061,S065,S071,S072,S117,S118,S174,S176,S178,S203,S216,S219,S241,S249,S257,S258,S259,S261,S265,S274,U005,U009,U010,U011,U020,U036,nombre_programa
E003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instituto Nacional de las Personas Adultas Mayores (Servicios a grupos con necesidades especiales)
S057,0.6181765794754028,0.33923977613449097,-0.15177470445632935,0.00625523179769516,0.8155491352081299,0.6073890924453735,0.7352926135063171,0.5097540616989136,0.25199246406555176,0.35965657234191895,0.3979542851448059,0.2615581154823303,0.7873613238334656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fondo Nacional para el Fomento de las Artesanias
S058,0.4867616593837738,0.4250413775444031,0.4226674437522888,0.53076171875,0.6384167671203613,0.49957963824272156,0.5452322959899902,0.45789673924446106,0.5310417413711548,0.5763213038444519,0.5432579517364502,0.4895816445350647,0.32076892256736755,0.48841696977615356,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivienda Digna
S061,0.6586910486221313,0.512785792350769,0.5859078168869019,0.6768712997436523,0.466048926115036,0.2648158073425293,0.37982654571533203,0.27970489859580994,0.7274147272109985,0.07986105978488922,0.7022830247879028,0.5078908205032349,0.4854167401790619,0.4402734637260437,0.5603302121162415,,,,,,,,,,,,,,,,,,,,,,,,,,,3 x 1 para Migrantes
S065,-0.13480542600154877,-0.1112150251865387,0.3712189793586731,0.4398502707481384,0.4101988673210144,0.39533066749572754,0.11985135078430176,0.3314253091812134,0.08978039026260376,0.5803298354148865,-0.0007851962000131607,0.23950520157814026,-0.06081836670637131,0.1736910045146942,0.2936706840991974,-0.08810078352689743,,,,,,,,,,,,,,,,,,,,,,,,,,Atención a Jornaleros Agricolas
S071,0.5188333988189697,0.3760828971862793,0.240532785654068,0.26213592290878296,0.45962315797805786,0.3106684684753418,0.21152561902999878,0.32316625118255615,0.28860074281692505,0.35915619134902954,0.4457787871360779,0.286060631275177,0.4044960141181946,0.3407040238380432,0.20234465599060059,0.26692837476730347,0.23033303022384644,,,,,,,,,,,,,,,,,,,,,,,,,Empleo Temporal
S072,0.09909375756978989,0.20351654291152954,0.3108004331588745,0.3873402178287506,0.3621891736984253,0.34470486640930176,0.14573609828948975,0.1292421668767929,0.44454270601272583,0.31695377826690674,0.20235417783260345,0.5170738101005554,0.05098707973957062,0.4700912535190582,0.23405009508132935,0.15541724860668182,0.6846823692321777,0.15702220797538757,,,,,,,,,,,,,,,,,,,,,,,,Inclusión Social PROSPERA
S117,0.2596471905708313,0.14262039959430695,0.34339699149131775,0.6036123037338257,0.33393144607543945,0.1549859642982483,0.2948780059814453,0.30580538511276245,0.38569095730781555,0.16167141497135162,0.3414561152458191,0.27940401434898376,0.17241960763931274,0.2375338077545166,0.8327977061271667,0.4728313088417053,0.27172425389289856,0.005561158061027527,0.1019328311085701,,,,,,,,,,,,,,,,,,,,,,,Vivienda Rural
S118,-0.06666209548711777,0.18100373446941376,0.10373861342668533,0.10860536992549896,0.18948903679847717,0.3143475353717804,0.05771005153656006,-0.0981941744685173,0.2516341209411621,0.2000061273574829,0.09610706567764282,0.4813374876976013,-0.09052959084510803,0.41728347539901733,0.179004967212677,-0.06952913105487823,0.57269686460495,0.11339301615953445,0.8945275545120239,0.09710383415222168,,,,,,,,,,,,,,,,,,,,,,Apoyo Alimentario
S174,0.33628708124160767,0.3170144259929657,0.3454326391220093,0.2579141855239868,0.3291786015033722,0.3446316719055176,0.10169672966003418,0.3429223299026489,0.3633285164833069,0.6379106044769287,0.3149643540382385,0.20396994054317474,0.016194690018892288,0.1706576943397522,0.15641318261623383,0.21538430452346802,0.20300905406475067,0.49947530031204224,0.1739005744457245,0.1086006909608841,0.22924023866653442,,,,,,,,,,,,,,,,,,,,,Estancias Infantiles para Apoyar a Madres Trabajadoras
S176,0.5731245279312134,0.3747456669807434,0.39366570115089417,0.39035356044769287,0.4529527425765991,0.2811298966407776,0.18909239768981934,0.3678857088088989,0.4376036524772644,0.5998259782791138,0.34117376804351807,0.21694090962409973,0.32164716720581055,0.35545316338539124,0.2310619354248047,0.32784682512283325,0.24820268154144287,0.8353473544120789,0.18184052407741547,0.16987743973731995,0.26007282733917236,0.7079755663871765,,,,,,,,,,,,,,,,,,,,Pension para Adultos Mayores
S178,0.22127056121826172,0.33117416501045227,0.5740902423858643,0.4893512725830078,0.1640726923942566,0.019160673022270203,-0.04011174291372299,0.23863530158996582,0.5666817426681519,0.38009336590766907,0.2647473216056824,0.27536964416503906,-0.137703537940979,-0.08246422559022903,0.08553340286016464,0.4460303485393524,0.20839804410934448,0.17005860805511475,0.19891460239887238,0.18985748291015625,0.15995675325393677,0.47640034556388855,0.2760521173477173,,,,,,,,,,,,,,,,,,,Apoyo a la Educacion Indigena
S203,0.8036947250366211,0.5222679376602173,0.18673790991306305,0.2457367181777954,0.7667807340621948,0.34150367975234985,0.8856284618377686,0.6891980767250061,0.5209000110626221,0.3894073963165283,0.5802322626113892,0.12823724746704102,0.7198623418807983,0.6380152702331543,0.4669312834739685,0.5734574794769287,0.10694298148155212,0.27961021661758423,0.09026098251342773,0.4743309020996094,0.15633802115917206,0.10958950221538544,0.30093491077423096,0.21619448065757751,,,,,,,,,,,,,,,,,,Apoyo a Jóvenes Emprendedores Agrarios
S216,0.6191258430480957,0.5390812158584595,0.3902698755264282,0.5114415884017944,0.42319831252098083,0.27780985832214355,0.5496418476104736,0.2580397129058838,0.5572025179862976,0.09445270150899887,0.6152226328849792,0.28337281942367554,0.44554007053375244,0.30436521768569946,0.7412266731262207,0.6540160179138184,0.2142098844051361,0.26127663254737854,-0.007288653403520584,0.7934489250183105,0.004280727356672287,-0.03761574625968933,0.22065767645835876,0.21880614757537842,0.6010532379150391,,,,,,,,,,,,,,,,,Programa para el Desarrollo de Zonas Prioritarias
S219,0.5976606607437134,0.46921271085739136,0.4990226924419403,0.39031440019607544,0.5885471105575562,0.44295716285705566,0.6207647919654846,0.47851377725601196,0.44362565875053406,0.5143994092941284,0.653928279876709,0.12120933830738068,0.2825033664703369,0.20615248382091522,0.4442557096481323,0.4317300319671631,0.3239774703979492,0.29130780696868896,0.06017304211854935,0.46408385038375854,-0.06099024415016174,0.13989117741584778,0.26036256551742554,0.3342365026473999,0.5933984518051147,0.5214382410049438,,,,,,,,,,,,,,,,Apoyos para el Desarrollo Forestal Sustentable
S241,0.5383514761924744,0.39923399686813354,0.3524989187717438,0.5232548117637634,0.5356804728507996,0.4691692888736725,0.30703026056289673,0.2600826323032379,0.42114341259002686,0.3371588885784149,0.5265198945999146,0.4919448494911194,0.4981045126914978,0.5164542198181152,0.4596347510814667,0.4031538963317871,0.5398520827293396,0.8433117866516113,0.38829565048217773,0.4081808030605316,0.415363609790802,0.45538240671157837,0.7988901138305664,0.18228815495967865,0.33213141560554504,0.4548807144165039,0.35655564069747925,,,,,,,,,,,,,,,Seguro de Vida para Jefas de Familia
S249,0.5869549512863159,0.20188015699386597,0.14508676528930664,0.3860943913459778,0.7117704749107361,0.11578147113323212,0.49195945262908936,0.6901512145996094,0.442734956741333,0.2984682321548462,0.2280050665140152,0.1715705692768097,0.7290194034576416,0.7125523090362549,0.17319652438163757,0.5599547624588013,0.15128156542778015,0.38203662633895874,0.25204208493232727,0.23655959963798523,0.3750283718109131,0.19617190957069397,0.47309499979019165,0.36460328102111816,0.664850652217865,0.2009449601173401,0.23569944500923157,0.3590658903121948,,,,,,,,,,,,,,Programa para el Mejoramiento de la Producción y Productividad Indí­gena
S257,0.6997559070587158,0.6147066354751587,0.11062905937433243,-0.015582047402858734,0.5017778873443604,0.393568217754364,0.7741050720214844,0.30608758330345154,0.2710762321949005,0.2492038905620575,0.4572448432445526,-0.0713421180844307,0.5319041013717651,0.29888659715652466,0.17311634123325348,0.3044631779193878,0.04311734065413475,0.34343791007995605,-0.16958118975162506,0.15000231564044952,-0.11209061741828918,0.048321641981601715,0.24015682935714722,0.10188993811607361,0.7098301649093628,0.4255232810974121,0.6764996647834778,0.3567357361316681,0.29415449500083923,,,,,,,,,,,,,Productividad y Competitividad Agroalimentaria
S258,0.6970963478088379,0.42207711935043335,0.17353954911231995,0.2970620095729828,0.7529726028442383,0.6083770990371704,0.8202550411224365,0.5011353492736816,0.3272743821144104,0.4114050567150116,0.6445597410202026,0.11738677322864532,0.6565169095993042,0.5795981287956238,0.6312901377677917,0.45705461502075195,0.2519942820072174,0.43615907430648804,-0.018767710775136948,0.6230328679084778,0.042516905814409256,0.11175286024808884,0.39282745122909546,-0.014385966584086418,0.7528474926948547,0.6662535667419434,0.7734665870666504,0.5597547292709351,0.4641076326370239,0.7662454843521118,,,,,,,,,,,,Programa Integral de Desarrollo Rural
S259,0.3008210062980652,0.14377811551094055,0.2938401997089386,0.3307003974914551,0.604351282119751,0.3684741258621216,0.5518472194671631,0.5242639183998108,0.13644179701805115,0.3949996829032898,0.22133681178092957,0.03982352465391159,0.4438559412956238,0.2537018060684204,0.23365679383277893,0.21434994041919708,0.617964506149292,0.27901357412338257,0.13058772683143616,0.27150970697402954,0.003379618749022484,-0.0056643858551979065,0.155836284160614,0.269025981426239,0.43616628646850586,0.344726026058197,0.5966871976852417,0.44035473465919495,0.4045497179031372,0.5541478395462036,0.6461919546127319,,,,,,,,,,,Fomento a la Agricultura
S261,0.33668601512908936,0.22364528477191925,0.2682541012763977,0.21846811473369598,0.59572833776474,0.5954011678695679,0.4354648292064667,0.3733459711074829,0.10705278068780899,0.5329446792602539,0.40684884786605835,0.18374425172805786,0.23321333527565002,0.2419581115245819,0.3055090308189392,0.05945885553956032,0.5380714535713196,0.5663776993751526,0.12875241041183472,0.24882540106773376,0.04895962029695511,0.23636141419410706,0.40684276819229126,0.13694459199905396,0.28841012716293335,0.18426628410816193,0.7132909297943115,0.5154733657836914,0.08640079200267792,0.5739173889160156,0.624191403388977,0.702989935874939,,,,,,,,,,Fomento a la Productividad Pesquera y Acuicola
S265,0.6942815184593201,0.6228883862495422,0.5072562098503113,0.37497085332870483,0.6538897752761841,0.6450433731079102,0.6719245910644531,0.3904617130756378,0.5140925645828247,0.6453408002853394,0.6175743341445923,0.2002282440662384,0.4008738398551941,0.3639122247695923,0.5634907484054565,0.4399678409099579,0.43643268942832947,0.5049831867218018,0.12661926448345184,0.5144557952880859,0.10413436591625214,0.3734758794307709,0.5038801431655884,0.30224859714508057,0.6394593715667725,0.5854314565658569,0.8225488662719727,0.5795462131500244,0.28899967670440674,0.8313860893249512,0.8289977312088013,0.759483814239502,0.8056850433349609,,,,,,,,,Programa de Aseguramiento Agropecuario
S274,0.4658595025539398,0.5053609013557434,0.312847375869751,0.3265124559402466,0.3827959895133972,0.4228987395763397,0.4677615165710449,0.1604791283607483,0.5056338310241699,0.3860788941383362,0.5054283142089844,0.41784340143203735,0.23842892050743103,0.41543030738830566,0.9325059056282043,0.36987370252609253,0.3262878656387329,0.2860690653324127,0.21511751413345337,0.846057116985321,0.3045550286769867,0.22316879034042358,0.33501020073890686,0.04080388695001602,0.497467577457428,0.7054606080055237,0.4065288007259369,0.420475572347641,0.17635072767734528,0.4659132659435272,0.5556110143661499,0.3021605908870697,0.39122533798217773,0.6551089286804199,,,,,,,,Apoyo a la Vivienda
U005,0.6180002093315125,0.6559840440750122,0.4746816158294678,0.44196072220802307,0.5088553428649902,0.5442418456077576,0.3644673228263855,0.1326957792043686,0.7485533952713013,0.4722796380519867,0.5664312839508057,0.5981811881065369,0.3478599190711975,0.6357906460762024,0.6109611988067627,0.5567774772644043,0.3937457799911499,0.576941192150116,0.5871819853782654,0.5169157981872559,0.698125958442688,0.5954017639160156,0.7013759613037109,0.3165452778339386,0.48472917079925537,0.42525017261505127,0.3212839961051941,0.6603533625602722,0.42642682790756226,0.42580488324165344,0.5061514973640442,0.24260902404785156,0.3365156650543213,0.7027323246002197,0.6250072717666626,,,,,,,Seguro Popular
U009,0.4264158606529236,0.4196047782897949,0.5528683066368103,0.6819281578063965,0.6163825988769531,0.5898052453994751,0.33200299739837646,0.29278451204299927,0.6272177696228027,0.3736496567726135,0.6686328649520874,0.6906976699829102,0.23981191217899323,0.5218808054924011,0.5541634559631348,0.6316835880279541,0.570878267288208,0.42610079050064087,0.6192217469215393,0.6013224124908447,0.6140377521514893,0.4218719005584717,0.42568475008010864,0.5736271142959595,0.3784731924533844,0.45300424098968506,0.4902396500110626,0.5449582934379578,0.4584926962852478,0.32235223054885864,0.5189197063446045,0.41073983907699585,0.44430893659591675,0.6405676007270813,0.558574378490448,0.7490720152854919,,,,,,Comedores Comunitarios
U010,0.6871488094329834,0.27175962924957275,0.38153472542762756,0.6184319257736206,0.8002114295959473,0.35806724429130554,0.6062452793121338,0.7420763969421387,0.4876362383365631,0.5349605083465576,0.4320860505104065,0.10342918336391449,0.6190115213394165,0.5309488773345947,0.4227694869041443,0.6420661211013794,0.23838606476783752,0.3578077554702759,0.1134992390871048,0.5252188444137573,0.11198873817920685,0.2680428624153137,0.4903948903083801,0.3789365291595459,0.7014360427856445,0.506972074508667,0.5840016603469849,0.3863009810447693,0.794048547744751,0.43302100896835327,0.8069567680358887,0.6078025102615356,0.48884671926498413,0.6897172331809998,0.3873942792415619,0.4197969138622284,0.49241381883621216,,,,,Programa de Compensación Social por la Suspensión Temporal de Pesca para Contribuir a la Conservación de la Vaquita Marina
U011,0.19201938807964325,0.36006319522857666,0.19655342400074005,0.03783661127090454,0.41933590173721313,0.2967800199985504,0.3336532413959503,0.2521364688873291,0.25081661343574524,0.3803395628929138,0.1795969009399414,0.18110108375549316,0.08964743465185165,0.27969223260879517,0.05683811753988266,0.11722737550735474,0.33600914478302,0.17215199768543243,0.29685133695602417,0.06855344027280807,0.4192008674144745,0.1957600861787796,0.09269136935472488,0.5172165036201477,0.34646520018577576,-0.05691038444638252,0.2600035071372986,0.0828251913189888,0.3732689619064331,0.27117639780044556,0.1753312200307846,0.3872109651565552,0.22876927256584167,0.3588617742061615,0.08831027150154114,0.26221054792404175,0.40918806195259094,0.18774662911891937,,,,Derechos Indigenas
U020,0.5204155445098877,0.41422003507614136,0.34013885259628296,0.42827439308166504,0.6479873657226562,0.49689146876335144,0.5120275616645813,0.4016955494880676,0.39475828409194946,0.3599661588668823,0.7313938140869141,0.36465054750442505,0.2778767943382263,0.37721991539001465,0.3539172410964966,0.44399285316467285,0.3112472593784332,0.3547716736793518,0.23848289251327515,0.426894873380661,0.2215978056192398,0.20330795645713806,0.3042075037956238,0.4307368993759155,0.5022018551826477,0.3655482530593872,0.7982706427574158,0.3681721091270447,0.3732391595840454,0.5256630778312683,0.6361486911773682,0.5150131583213806,0.6079455018043518,0.6393696069717407,0.34742653369903564,0.4357774257659912,0.6150643825531006,0.5177072286605835,0.46097254753112793,,,Fomento para la Conservacion y el Aprovechamiento Sustentable de la Vida Silvestre
U036,0.6181260943412781,0.4506186544895172,0.4343342185020447,0.438815712928772,0.6389166116714478,0.4866912066936493,0.604843020439148,0.5629473924636841,0.4917422831058502,0.6195443272590637,0.6924251914024353,0.2509780526161194,0.2553965747356415,0.3044970631599426,0.6104907393455505,0.46309083700180054,0.28262612223625183,0.3289639353752136,0.06371083110570908,0.62516188621521,0.0301622673869133,0.3585436940193176,0.3782363831996918,0.3966444730758667,0.596571683883667,0.536783754825592,0.8822871446609497,0.330452024936676,0.3163672089576721,0.5885699391365051,0.7712846994400024,0.5386213660240173,0.680970311164856,0.8053591847419739,0.6007325053215027,0.4545344114303589,0.5542399287223816,0.5702909231185913,0.24302102625370026,0.7964171171188354,,Programa Nacional Forestal - Desarrollo Forestal
